,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
2114,Brooklyn,11,Friday,6.200816293704888,235720
2115,Brooklyn,12,Wednesday,6.188924274593065,228620
2116,Brooklyn,14,Friday,6.731601731601732,289430
2117,Brooklyn,14,Sunday,5.840747917325741,273480
2118,Brooklyn,16,Saturday,6.1156648451730415,329610
2119,Brooklyn,16,Sunday,5.806845965770171,288570
2120,Brooklyn,16,Thursday,6.849527930763179,294280
2121,Brooklyn,16,Wednesday,6.79341431953166,287460
2122,Brooklyn,17,Wednesday,6.768953068592058,315250
2123,Brooklyn,19,Thursday,5.981538286753011,332600
2124,Brooklyn,21,Saturday,5.506134969325154,367010
2125,Brooklyn,23,Sunday,4.821154607887441,214160
2126,Brooklyn,23,Thursday,4.876811594202899,242890
2218,EWR,17,Sunday,2.4256709567993613,10
2285,Manhattan,0,Thursday,4.5303550973654065,162730
2286,Manhattan,2,Friday,4.3874975732867405,103270
2287,Manhattan,3,Tuesday,4.128516193235185,24460
2288,Manhattan,6,Thursday,4.375,143750
2289,Manhattan,6,Wednesday,4.371428571428572,147830
2290,Manhattan,7,Monday,5.1984813533256435,241740
2291,Manhattan,8,Saturday,4.543010752688172,160270
2292,Manhattan,9,Saturday,4.960596914822267,236620
2293,Manhattan,10,Wednesday,6.630171774541361,297500
2294,Manhattan,11,Tuesday,6.695778748180495,273910
2295,Manhattan,13,Friday,6.683427666599286,321060
2296,Manhattan,17,Thursday,7.030178326474622,394070
2297,Manhattan,18,Saturday,6.440677966101695,531400
2298,Manhattan,20,Friday,6.227397187330093,534640
2299,Manhattan,21,Friday,5.908137983609682,476490
2300,Manhattan,21,Sunday,5.1115177438450985,292800
2301,Manhattan,23,Saturday,5.480175961685977,486800
2302,Manhattan,23,Wednesday,4.710640163605202,250480
2434,Queens,2,Thursday,3.7220409105144308,33060
2435,Queens,2,Tuesday,3.688334376303713,27640
2436,Queens,2,Wednesday,3.7384048630067737,29640
2437,Queens,3,Thursday,3.3033573141486814,31890
2438,Queens,4,Monday,3.108932102834542,43900
2439,Queens,4,Tuesday,3.1237124712534547,38400
2440,Queens,4,Wednesday,3.083659635383773,40480
